device: mps
target network: OFF (2013 paper as published)
ep    10 | step     1221 | reward     6.88 | avg100    -1.86 | eps 0.989 | q     nan |   73.7 steps/s | 0.3 min
ep  1790 | step   376188 | reward   675.51 | avg100   672.01 | eps 0.100 | q  452.33 |   57.3 steps/s | 109.5 min
ep  1800 | step   378688 | reward   864.54 | avg100   676.58 | eps 0.100 | q  477.30 |   57.3 steps/s | 110.2 min
ep  1810 | step   381183 | reward   438.75 | avg100   686.18 | eps 0.100 | q  476.92 |   57.3 steps/s | 110.9 min
ep  1820 | step   383683 | reward   516.67 | avg100   680.00 | eps 0.100 | q  454.17 |   57.1 steps/s | 112.1 min
ep  1830 | step   386051 | reward   446.67 | avg100   654.26 | eps 0.100 | q  452.67 |   57.1 steps/s | 112.8 min
ep  1840 | step   388442 | reward   718.82 | avg100   644.19 | eps 0.100 | q  432.36 |   56.8 steps/s | 113.9 min
ep  1850 | step   390942 | reward   701.20 | avg100   648.21 | eps 0.100 | q  510.02 |   56.8 steps/s | 114.6 min
ep  1860 | step   393349 | reward   881.34 | avg100   645.16 | eps 0.100 | q  507.08 |   56.8 steps/s | 115.3 min
ep  1870 | step   395849 | reward   631.79 | avg100   649.07 | eps 0.100 | q  471.51 |   56.8 steps/s | 116.1 min
ep  1880 | step   398349 | reward   527.76 | avg100   662.78 | eps 0.100 | q  469.93 |   56.8 steps/s | 116.8 min

done (reached --steps). 400000 steps over 1886 episodes in 1.95 h (117.3 min). best avg100 690.54
