device: mps
actors: 6 | 333 steps each | 1998 samples per update
ep    10 | step     1200 | reward   -10.80 | avg100   -15.70 |  111.4 steps/s | 0.2 min
ep  2320 | step   266688 | reward    96.01 | avg100    84.28 |  101.8 steps/s | 43.7 min
ep  2330 | step   267678 | reward   161.82 | avg100    84.38 |  101.8 steps/s | 43.8 min
ep  2340 | step   268998 | reward    27.98 | avg100    85.68 |  101.8 steps/s | 44.0 min
ep  2350 | step   270336 | reward   -12.73 | avg100    84.67 |  101.8 steps/s | 44.3 min
ep  2360 | step   271278 | reward    87.10 | avg100    82.06 |  101.8 steps/s | 44.4 min
ep  2370 | step   272598 | reward   -26.04 | avg100    85.57 |  101.8 steps/s | 44.6 min
ep  2380 | step   274086 | reward    72.64 | avg100    86.29 |  101.7 steps/s | 44.9 min
ep  2390 | step   274980 | reward    74.60 | avg100    82.61 |  101.8 steps/s | 45.0 min
ep  2400 | step   276348 | reward   103.23 | avg100    79.12 |  101.7 steps/s | 45.3 min
ep  2410 | step   277680 | reward   -42.96 | avg100    76.85 |  101.8 steps/s | 45.5 min
ep  2420 | step   278688 | reward   115.75 | avg100    77.82 |  101.7 steps/s | 45.7 min
ep  2430 | step   279948 | reward   -32.12 | avg100    77.20 |  101.7 steps/s | 45.9 min
ep  2440 | step   281400 | reward    53.37 | avg100    76.27 |  101.8 steps/s | 46.1 min
ep  2450 | step   282414 | reward   129.93 | avg100    81.10 |  101.7 steps/s | 46.3 min
ep  2460 | step   283620 | reward   -13.39 | avg100    81.76 |  101.8 steps/s | 46.4 min
ep  2470 | step   284928 | reward    41.26 | avg100    80.52 |  101.8 steps/s | 46.7 min
ep  2480 | step   286068 | reward   111.54 | avg100    80.58 |  101.7 steps/s | 46.9 min
ep  2490 | step   287184 | reward    48.55 | avg100    78.75 |  101.8 steps/s | 47.0 min
ep  2500 | step   288672 | reward   136.93 | avg100    79.57 |  101.8 steps/s | 47.3 min
ep  2510 | step   289818 | reward    79.10 | avg100    82.24 |  101.7 steps/s | 47.5 min
ep  2520 | step   290934 | reward   151.97 | avg100    81.25 |  101.8 steps/s | 47.6 min
ep  2530 | step   292326 | reward   104.78 | avg100    79.04 |  101.7 steps/s | 47.9 min
ep  2540 | step   293424 | reward   170.36 | avg100    76.85 |  101.8 steps/s | 48.1 min
ep  2550 | step   294534 | reward    71.88 | avg100    72.69 |  101.7 steps/s | 48.2 min
ep  2560 | step   295926 | reward    60.00 | avg100    75.20 |  101.7 steps/s | 48.5 min
ep  2570 | step   297024 | reward   -37.52 | avg100    73.37 |  101.8 steps/s | 48.6 min
ep  2580 | step   298272 | reward    87.73 | avg100    70.97 |  101.7 steps/s | 48.9 min
ep  2590 | step   299568 | reward    64.79 | avg100    67.45 |  101.8 steps/s | 49.1 min
ep  2600 | step   300540 | reward   128.87 | avg100    67.50 |  101.7 steps/s | 49.2 min
ep  2610 | step   301896 | reward    51.43 | avg100    64.72 |  101.7 steps/s | 49.5 min
ep  2620 | step   303168 | reward    20.26 | avg100    62.93 |  101.8 steps/s | 49.7 min
ep  2630 | step   304290 | reward    45.99 | avg100    63.70 |  101.7 steps/s | 49.9 min
ep  2640 | step   305526 | reward   121.05 | avg100    62.81 |  101.8 steps/s | 50.0 min
ep  2650 | step   306882 | reward    29.69 | avg100    63.30 |  101.8 steps/s | 50.3 min
ep  2660 | step   307794 | reward   137.76 | avg100    61.62 |  101.7 steps/s | 50.4 min
ep  2670 | step   309078 | reward    39.51 | avg100    61.46 |  101.8 steps/s | 50.6 min
ep  2680 | step   310428 | reward   133.11 | avg100    64.88 |  101.7 steps/s | 50.9 min
ep  2690 | step   311490 | reward    91.49 | avg100    71.72 |  101.8 steps/s | 51.0 min
ep  2700 | step   312744 | reward   139.26 | avg100    72.04 |  101.8 steps/s | 51.2 min
ep  2710 | step   314034 | reward    26.44 | avg100    74.17 |  101.7 steps/s | 51.5 min
ep  2720 | step   315120 | reward   163.33 | avg100    74.42 |  101.8 steps/s | 51.6 min
ep  2730 | step   316362 | reward   150.94 | avg100    75.52 |  101.7 steps/s | 51.8 min
ep  2740 | step   317634 | reward   162.36 | avg100    77.76 |  101.8 steps/s | 52.0 min
ep  2750 | step   318870 | reward   151.77 | avg100    82.50 |  101.7 steps/s | 52.2 min
ep  2760 | step   320064 | reward    29.14 | avg100    86.01 |  101.7 steps/s | 52.4 min
ep  2770 | step   321288 | reward   153.42 | avg100    89.85 |  101.8 steps/s | 52.6 min
ep  2780 | step   322470 | reward   -18.85 | avg100    89.69 |  101.7 steps/s | 52.8 min
ep  2790 | step   323664 | reward   101.99 | avg100    89.70 |  101.8 steps/s | 53.0 min
ep  2800 | step   324960 | reward    27.19 | avg100    92.47 |  101.7 steps/s | 53.2 min
ep  2810 | step   326220 | reward   149.15 | avg100    96.81 |  101.7 steps/s | 53.5 min
ep  2820 | step   327384 | reward   -15.09 | avg100   100.94 |  101.7 steps/s | 53.6 min
ep  2830 | step   328710 | reward   143.90 | avg100   103.44 |  101.7 steps/s | 53.9 min
ep  2840 | step   329916 | reward    87.27 | avg100   105.54 |  101.7 steps/s | 54.1 min
ep  2850 | step   331134 | reward   127.42 | avg100   104.01 |  101.7 steps/s | 54.3 min
